Time,Average Thrust
1.544,132.085
1.545,132.009
1.546,131.995
1.547,131.946
1.548,132.023
1.549,132.043
1.55,132.055
1.551,132.089
1.552,132.237
1.553,132.247
1.554,132.254
1.555,132.298
1.556,132.423
1.557,132.449
1.558,132.335
1.559,132.277
1.56,132.382
1.561,132.315
1.562,132.214
1.563,132.153
1.564,132.195
1.565,132.185
1.566,132.158
1.567,132.200
1.568,132.217
1.569,132.323
1.57,132.389
1.571,132.364
1.572,132.433
1.573,132.529
1.574,132.518
1.575,132.476
1.576,132.494
1.577,132.482
1.578,132.432
1.579,132.420
1.58,132.351
1.581,132.283
1.582,132.360
1.583,132.408
1.584,132.418
1.585,132.450
1.586,132.551
1.587,132.660
1.588,132.683
1.589,132.728
1.59,132.768
1.591,132.724
1.592,132.715
1.593,132.718
1.594,132.677
1.595,132.671
1.596,132.636
1.597,132.590
1.598,132.627
1.599,132.665
1.6,132.736
1.601,132.733
1.602,132.794
1.603,132.904
1.604,132.912
1.605,132.973
1.606,133.036
1.607,133.093
1.608,133.007
1.609,133.040
1.61,133.084
1.611,133.038
1.612,133.054
1.613,133.052
1.614,132.950
1.615,133.061
1.616,133.099
1.617,133.026
1.618,133.142
1.619,133.205
1.62,133.235
1.621,133.299
1.622,133.413
1.623,133.465
1.624,133.456
1.625,133.430
1.626,133.409
1.627,133.390
1.628,133.423
1.629,133.363
1.63,133.239
1.631,133.336
1.632,133.381
1.633,133.343
1.634,133.400
1.635,133.499
1.636,133.542
1.637,133.585
1.638,133.607
1.639,133.805
1.64,133.805
1.641,133.694
1.642,133.722
1.643,133.753
1.644,133.717
1.645,133.620
1.646,133.612
1.647,133.548
1.648,133.602
1.649,133.586
1.65,133.594
1.651,133.700
1.652,133.742
1.653,133.758
1.654,133.832
1.655,133.939
1.656,133.974
1.657,133.942
1.658,133.937
1.659,133.849
1.66,133.830
1.661,133.859
1.662,133.799
1.663,133.721
1.664,133.668
1.665,133.754
1.666,133.709
1.667,133.767
1.668,133.823
1.669,133.870
1.67,133.902
1.671,133.996
1.672,134.028
1.673,134.060
1.674,134.115
1.675,134.131
1.676,134.060
1.677,134.177
1.678,134.133
1.679,134.049
1.68,134.029
1.681,134.055
1.682,134.104
1.683,134.167
1.684,134.196
1.685,134.223
1.686,134.340
1.687,134.379
1.688,134.398
1.689,134.484
1.69,134.598
1.691,134.509
1.692,134.487
1.693,134.579
1.694,134.528
1.695,134.452
1.696,134.472
1.697,134.426
1.698,134.350
1.699,134.436
1.7,134.543
1.701,134.538
1.702,134.628
1.703,134.711
1.704,134.727
1.705,134.834
1.706,134.905
1.707,134.892
1.708,134.903
1.709,134.961
1.71,134.893
1.711,134.845
1.712,134.850
